"Population_number","Sample.number","Sample.identity","Location.details","Lat","Long","pg2C","S.D.","hybrid","ploidy","specPop","popMeans","popSd","popN","spMeans","spSd","spN","pg1C"
"A1087 (M1768)","A1087 (M1768)","E. micrantha","",57.70774,-4.4316744,2.382666667,0.055157351,FALSE,"tet","E. micrantha.A1087 (M1768)",1.1913333335,NA,1,1.18449019611765,0.0182611714998456,17,1.1913333335
"A1113 (M1769)","A1113 (M1769)","E. micrantha","",58.931353,-3.1812394,2.384333333,0.016165808,FALSE,"tet","E. micrantha.A1113 (M1769)",1.1921666665,NA,1,1.18449019611765,0.0182611714998456,17,1.1921666665
"A1386 (A1763)","A1386 (A1763)","E. anglica","Cheddar gorge",51.284132,-2.750849,1.401333333,0.009712535,FALSE,"dip","E. anglica.A1386 (A1763)",0.7006666665,NA,1,0.644521739108696,0.0289207076756019,23,0.7006666665
"A1564 (M1767)","A1564 (M1767)","E. micrantha","Borrowdale",54.536488,-3.1655775,2.370333333,0.017039171,FALSE,"tet","E. micrantha.A1564 (M1767)",1.1851666665,NA,1,1.18449019611765,0.0182611714998456,17,1.1851666665
"A1748 (V1761)","A1748 (V1761)","E. virgursii","",50.240282,-5.3812651,1.365,0.012288206,FALSE,"dip","E. virgursii.A1748 (V1761)",0.6825,NA,1,0.680625,0.01875,4,0.6825
"A391 (V1761)","A391 (V1761)","E. tetraquetra","",50.240282,-5.3812651,2.370666667,0.028290163,FALSE,"tet","E. tetraquetra.A391 (V1761)",1.1853333335,NA,1,1.159875,0.0343493663653118,8,1.1853333335
"A502 (V1761)","A502 (V1761)","E. tetraquetra","",50.240282,-5.3812651,2.382333333,0.028746014,FALSE,"tet","E. tetraquetra.A502 (V1761)",1.1911666665,NA,1,1.159875,0.0343493663653118,8,1.1911666665
"A551 (A1766)","A551 (A1766)","E. anglica","Cheddar gorge",51.284132,-2.750849,1.322,0.008717798,FALSE,"dip","E. anglica.A551 (A1766)",0.661,NA,1,0.644521739108696,0.0289207076756019,23,0.661
"A593 (A1766)","A593 (A1766)","E. anglica","Cheddar gorge",51.284132,-2.750849,1.348333333,0.004932883,FALSE,"dip","E. anglica.A593 (A1766)",0.6741666665,NA,1,0.644521739108696,0.0289207076756019,23,0.6741666665
"AT1401","STC1","E. micrantha","Malwood near Stony Cross, New Forest National Park, Hampshire",50.907423,-1.620662,2.41,0.01,FALSE,"tet","E. micrantha.AT1401",1.17666666666667,0.03685557397916,3,1.18449019611765,0.0182611714998456,17,1.205
"AT1401","STC2","E. micrantha","Malwood near Stony Cross, New Forest National Park, Hampshire",50.907423,-1.620662,2.38,0.01,FALSE,"tet","E. micrantha.AT1401",1.17666666666667,0.03685557397916,3,1.18449019611765,0.0182611714998456,17,1.19
"AT1401","STC3","E. micrantha","Malwood near Stony Cross, New Forest National Park, Hampshire",50.907423,-1.620662,2.27,0.01,FALSE,"tet","E. micrantha.AT1401",1.17666666666667,0.03685557397916,3,1.18449019611765,0.0182611714998456,17,1.135
"AT1403","JAP1","E. anglica","Janesmoor Pond, New Forest National Park, Hampshire",50.921778,-1.650528,1.27,0.01,FALSE,"dip","E. anglica.AT1403",0.636666666666667,0.0125830573921179,3,0.644521739108696,0.0289207076756019,23,0.635
"AT1403","JAP2","E. anglica","Janesmoor Pond, New Forest National Park, Hampshire",50.921778,-1.650528,1.25,0.01,FALSE,"dip","E. anglica.AT1403",0.636666666666667,0.0125830573921179,3,0.644521739108696,0.0289207076756019,23,0.625
"AT1403","JAP3","E. anglica","Janesmoor Pond, New Forest National Park, Hampshire",50.921778,-1.650528,1.3,0.01,FALSE,"dip","E. anglica.AT1403",0.636666666666667,0.0125830573921179,3,0.644521739108696,0.0289207076756019,23,0.65
"AT1404","WHP1","E. confusa","Whitten Pond, New Forest National Park, Hampshire",50.811333,-1.715972,2.63,0.08,FALSE,"tet","E. confusa.AT1404",1.20333333333333,0.0969965635130097,3,1.21416666666667,0.0649166131792677,6,1.315
"AT1404","WHP2","E. confusa","Whitten Pond, New Forest National Park, Hampshire",50.811333,-1.715972,2.28,0.03,FALSE,"tet","E. confusa.AT1404",1.20333333333333,0.0969965635130097,3,1.21416666666667,0.0649166131792677,6,1.14
"AT1404","WHP3","E. confusa","Whitten Pond, New Forest National Park, Hampshire",50.811333,-1.715972,2.31,0.02,FALSE,"tet","E. confusa.AT1404",1.20333333333333,0.0969965635130097,3,1.21416666666667,0.0649166131792677,6,1.155
"AT1405","BED1","E. anglica","Bedford Bridge, Dartmoor, Devon",50.5135,-4.113306,1.26,0.01,FALSE,"dip","E. anglica.AT1405",0.60875,0.0143614066163451,4,0.644521739108696,0.0289207076756019,23,0.63
"AT1405","BED2","E. anglica","Bedford Bridge, Dartmoor, Devon",50.5135,-4.113306,1.2,0.01,FALSE,"dip","E. anglica.AT1405",0.60875,0.0143614066163451,4,0.644521739108696,0.0289207076756019,23,0.6
"AT1405","BED3","E. anglica","Bedford Bridge, Dartmoor, Devon",50.5135,-4.113306,1.2,0.01,FALSE,"dip","E. anglica.AT1405",0.60875,0.0143614066163451,4,0.644521739108696,0.0289207076756019,23,0.6
"AT1405","BED4","E. anglica","Bedford Bridge, Dartmoor, Devon",50.5135,-4.113306,1.21,0.01,FALSE,"dip","E. anglica.AT1405",0.60875,0.0143614066163451,4,0.644521739108696,0.0289207076756019,23,0.605
"AT1406","SHA1","E. confusa","Sharpitor, Dartmoor, Devon",50.557833,-4.073389,2.5,0.03,FALSE,"tet","E. confusa.AT1406",1.225,0.0278388218141501,3,1.21416666666667,0.0649166131792677,6,1.25
"AT1406","SHA2","E. confusa","Sharpitor, Dartmoor, Devon",50.557833,-4.073389,2.46,0.02,FALSE,"tet","E. confusa.AT1406",1.225,0.0278388218141501,3,1.21416666666667,0.0649166131792677,6,1.23
"AT1406","SHA3","E. confusa","Sharpitor, Dartmoor, Devon",50.557833,-4.073389,2.39,0.06,FALSE,"tet","E. confusa.AT1406",1.225,0.0278388218141501,3,1.21416666666667,0.0649166131792677,6,1.195
"AT1407","HCB1","E. nemorosa","Higher Cherry Brook Bridge, Dartmoor, Devon",50.576833,-3.929583,2.46,0.07,FALSE,"tet","E. nemorosa.AT1407",1.19666666666667,0.0292973263854115,3,1.19297727272727,0.0486823277399375,22,1.23
"AT1407","HCB2","E. nemorosa","Higher Cherry Brook Bridge, Dartmoor, Devon",50.576833,-3.929583,2.35,0.06,FALSE,"tet","E. nemorosa.AT1407",1.19666666666667,0.0292973263854115,3,1.19297727272727,0.0486823277399375,22,1.175
"AT1407","HCB3","E. nemorosa","Higher Cherry Brook Bridge, Dartmoor, Devon",50.576833,-3.929583,2.37,0.07,FALSE,"tet","E. nemorosa.AT1407",1.19666666666667,0.0292973263854115,3,1.19297727272727,0.0486823277399375,22,1.185
"AT1409","NSF1","E. arctica","Nine Stone Farm, Bodmin Moor, Cornwall",50.532083,-4.522139,2.45,0.01,FALSE,"tet","E. arctica.AT1409",1.19833333333333,0.0340342964277703,3,1.1894409256875,0.0659296952973628,40,1.225
"AT1409","NSF2","E. arctica","Nine Stone Farm, Bodmin Moor, Cornwall",50.532083,-4.522139,2.42,0.01,FALSE,"tet","E. arctica.AT1409",1.19833333333333,0.0340342964277703,3,1.1894409256875,0.0659296952973628,40,1.21
"AT1409","NSF3","E. arctica","Nine Stone Farm, Bodmin Moor, Cornwall",50.532083,-4.522139,2.32,0.02,FALSE,"tet","E. arctica.AT1409",1.19833333333333,0.0340342964277703,3,1.1894409256875,0.0659296952973628,40,1.16
"AT1410","CRR1","E. arctica","Crowdy Reservoir, Bodmin Moor, Cornwall",50.623861,-4.628667,2.43,0.04,FALSE,"tet","E. arctica.AT1410",1.19833333333333,0.0152752523165195,3,1.1894409256875,0.0659296952973628,40,1.215
"AT1410","CRR2","E. arctica","Crowdy Reservoir, Bodmin Moor, Cornwall",50.623861,-4.628667,2.39,0.03,FALSE,"tet","E. arctica.AT1410",1.19833333333333,0.0152752523165195,3,1.1894409256875,0.0659296952973628,40,1.195
"AT1410","CRR3","E. arctica","Crowdy Reservoir, Bodmin Moor, Cornwall",50.623861,-4.628667,2.37,0,FALSE,"tet","E. arctica.AT1410",1.19833333333333,0.0152752523165195,3,1.1894409256875,0.0659296952973628,40,1.185
"AT1411","BUH1","E. virgursii","Bunny's Hill, Bodmin Moor, Cornwall",50.478278,-4.650861,1.4,0.02,FALSE,"dip","E. virgursii.AT1411",0.68,0.0229128784747792,3,0.680625,0.01875,4,0.7
